Source	Site	alt	cont	Treat	Block	Plot	uIDS	IDS	trans	size	flo.if	flo.no	cloning	clonesNext	surv	offspringNext	stage	stageNext	sizeNext
Arh	Arh	3	3	TT1	Arh_3	224	224.32	32	09_10	7,5441	NA	NA	NA	NA	NA	clonal	NA	continuous	5,813417057
Arh	Arh	3	3	TT1	Arh_3	224	224.33	33	09_10	6,1595	NA	NA	NA	NA	NA	clonal	NA	continuous	4,953471693
Arh	Arh	3	3	TT1	Arh_3	224	224.34	34	09_10	7,3656	NA	NA	NA	NA	NA	clonal	NA	continuous	5,125460766
Arh	Arh	3	3	TT1	Arh_3	224	224.35	35	09_10	5,8134	NA	NA	NA	NA	NA	clonal	NA	continuous	5,641427984
Arh	Arh	3	3	TT1	Arh_3	224	224.36	36	09_10	7,3656	NA	NA	NA	NA	NA	clonal	NA	continuous	6,329384276
Arh	Arh	3	3	TT1	Arh_3	224	224.37	37	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.38	38	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.39	39	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.40	40	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.41	41	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.42	42	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.43	43	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.44	44	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.45	45	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.46	46	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.47	47	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.48	48	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_3	224	224.49	49	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.1	1	09_10	7,193639005	0	NA	1	2	1	NA	continuous	continuous	7,363473396
Arh	Arh	3	3	TT1	Arh_4	229	229.10	10	09_10	7,535462468	0	NA	0	NA	1	NA	continuous	continuous	6,673362422
Arh	Arh	3	3	TT1	Arh_4	229	229.11	11	09_10	5,98540613	0	NA	1	1	0	NA	continuous	dead	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.12	12	09_10	6,505682714	0	NA	0	NA	0	NA	continuous	dead	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.13	13	09_10	6,501373349	0	NA	1	1	0	NA	continuous	dead	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.14	14	09_10	5,641427984	0	NA	1	1	0	NA	continuous	dead	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.2	2	09_10	6,163859251	0	NA	1	1	0	NA	continuous	dead	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.3	3	09_10	8,84244533	0	NA	1	2	1	NA	continuous	continuous	8,745850026
Arh	Arh	3	3	TT1	Arh_4	229	229.4	4	09_10	6,845351494	0	NA	1	2	1	NA	continuous	continuous	6,157395203
Arh	Arh	3	3	TT1	Arh_4	229	229.5	5	09_10	6,845351494	0	NA	0	NA	1	NA	continuous	continuous	7,533307786
Arh	Arh	3	3	TT1	Arh_4	229	229.6	6	09_10	7,713915589	0	NA	1	1	1	NA	continuous	continuous	6,675517104
Arh	Arh	3	3	TT1	Arh_4	229	229.7	7	09_10	6,84966086	0	NA	1	2	1	NA	continuous	continuous	5,469438912
Arh	Arh	3	3	TT1	Arh_4	229	229.8	8	09_10	5,81557174	0	NA	0	NA	1	NA	continuous	continuous	7,363473396
Arh	Arh	3	3	TT1	Arh_4	229	229.9	9	09_10	6,845351494	0	NA	0	NA	0	NA	continuous	dead	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.15	15	09_10	6,5014	NA	NA	NA	NA	NA	clonal	NA	continuous	7,195793688
Arh	Arh	3	3	TT1	Arh_4	229	229.16	16	09_10	5,6414	NA	NA	NA	NA	NA	clonal	NA	continuous	6,847506177
Arh	Arh	3	3	TT1	Arh_4	229	229.17	17	09_10	7,7139	NA	NA	NA	NA	NA	clonal	NA	continuous	7,01949525
Arh	Arh	3	3	TT1	Arh_4	229	229.18	18	09_10	6,8454	NA	NA	NA	NA	NA	clonal	NA	continuous	8,22341876
Arh	Arh	3	3	TT1	Arh_4	229	229.19	19	09_10	6,8454	NA	NA	NA	NA	NA	clonal	NA	continuous	6,329384276
Arh	Arh	3	3	TT1	Arh_4	229	229.20	20	09_10	8,84244533	NA	NA	NA	NA	NA	clonal	NA	continuous	7,533307786
Arh	Arh	3	3	TT1	Arh_4	229	229.24	24	09_10	8,84244533	NA	NA	NA	NA	NA	clonal	NA	continuous	6,329384276
Arh	Arh	3	3	TT1	Arh_4	229	229.25	25	09_10	7,1936	NA	NA	NA	NA	NA	clonal	NA	continuous	5,987560813
Arh	Arh	3	3	TT1	Arh_4	229	229.26	26	09_10	7,1936	NA	NA	NA	NA	NA	clonal	NA	continuous	7,707451541
Arh	Arh	3	3	TT1	Arh_4	229	229.27	27	09_10	6,1639	NA	NA	NA	NA	NA	clonal	NA	continuous	6,675517104
Arh	Arh	3	3	TT1	Arh_4	229	229.28	28	09_10	5,9854	NA	NA	NA	NA	NA	clonal	NA	continuous	6,503528031
Arh	Arh	3	3	TT1	Arh_4	229	229.29	29	09_10	6,8497	NA	NA	NA	NA	NA	clonal	NA	continuous	5,813417057
Arh	Arh	3	3	TT1	Arh_4	229	229.30	30	09_10	6,8497	NA	NA	NA	NA	NA	clonal	NA	continuous	4,609493547
Arh	Arh	3	3	TT1	Arh_4	229	229.31	31	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.32	32	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.33	33	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.34	34	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.35	35	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.36	36	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.38	38	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_4	229	229.39	39	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arh	Arh	3	3	TT1	Arh_5	231	231.1	1	09_10	6,503528031	0	NA	1	1	1	NA	continuous	continuous	7,021649932
Arh	Arh	3	3	TT1	Arh_5	231	231.2	2	09_10	6,5035	NA	NA	NA	NA	NA	clonal	NA	continuous	4,093526329
Arh	Arh	3	3	TT1	Arh_5	231	231.3	3	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_1	152	152.1	1	09_10	5,987560813	0	NA	1	1	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_1	152	152.10	10	09_10	5,641427984	0	NA	0	NA	0	NA	continuous	dead	NA
Gud	Gud	1	3	TT1	Gud_1	152	152.2	2	09_10	4,437504474	0	NA	0	NA	1	NA	continuous	continuous	5,297449839
