Source	Site	alt	cont	Treat	Block	Plot	uIDS	IDS	trans	size	flo.if	flo.no	cloning	clonesNext	surv	offspringNext	stage	stageNext	sizeNext
Gud	Gud	1	3	TT1	Gud_5	173	173.12	12	09_10	4,9556	NA	NA	NA	NA	NA	clonal	NA	continuous	4,953471693
Gud	Gud	1	3	TT1	Gud_5	173	173.13	13	09_10	4,9535	NA	NA	NA	NA	NA	clonal	NA	continuous	6,847506177
Gud	Gud	1	3	TT1	Gud_5	173	173.14	14	09_10	4,9535	NA	NA	NA	NA	NA	clonal	NA	continuous	4,783637303
Gud	Gud	1	3	TT1	Gud_5	173	173.15	15	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.16	16	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.17	17	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Gud	1	3	TT1	Gud_5	173	173.18	18	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Ram	2	3	TT2	Ram_6	155	155.1	1	09_10	5,813417057	0	NA	0	NA	1	NA	continuous	continuous	5,81557174
Gud	Ram	2	3	TT2	Ram_5	162	162.1	1	09_10	6,503528031	0	NA	1	1	1	NA	continuous	continuous	6,329384276
Gud	Ram	2	3	TT2	Ram_5	162	162.2	2	09_10	6,501373349	0	NA	1	2	0	NA	continuous	dead	NA
Gud	Ram	2	3	TT2	Ram_5	162	162.3	3	09_10	4,953471693	0	NA	1	1	0	NA	continuous	dead	NA
Gud	Ram	2	3	TT2	Ram_5	162	162.4	4	09_10	6,5014	NA	NA	NA	NA	NA	clonal	NA	continuous	5,813417057
Gud	Ram	2	3	TT2	Ram_5	162	162.5	5	09_10	6,5014	NA	NA	NA	NA	NA	clonal	NA	continuous	4,953471693
Gud	Ram	2	3	TT2	Ram_5	162	162.6	6	09_10	6,5035	NA	NA	NA	NA	NA	clonal	NA	continuous	4,609493547
Gud	Ram	2	3	TT2	Ram_5	162	162.7	7	09_10	NA	NA	NA	NA	NA	NA	sexual	NA	continuous	1,52
Gud	Ram	2	3	TT2	Ram_5	162	162.8	8	09_10	4,9535	NA	NA	NA	NA	NA	clonal	NA	continuous	5,068367488
Gud	Ram	2	3	TT2	Ram_5	162	162.9	9	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Ram	2	3	TT2	Ram_5	162	162.10	10	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Ram	2	3	TT2	Ram_5	162	162.11	11	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Ram	2	3	TT2	Ram_5	162	162.12	12	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Ram	2	3	TT2	Ram_5	162	162.13	13	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gud	Ram	2	3	TT2	Ram_7	174	174.1	1	09_10	6,161704568	0	NA	1	1	1	NA	continuous	continuous	6,675517104
Gud	Ram	2	3	TT2	Ram_7	174	174.2	2	09_10	5,469438912	0	NA	0	NA	1	NA	continuous	continuous	4,953471693
Gud	Ram	2	3	TT2	Ram_7	174	174.3	3	09_10	6,1617	NA	NA	NA	NA	NA	clonal	NA	continuous	4,093526329
Gud	Ram	2	3	TT2	Ram_7	174	174.4	4	09_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hog	Hog	2	2	TT1	Hog_3	113	113.1	1	09_10	7,19794837	0	NA	1	2	1	NA	continuous	continuous	6,851815542
Hog	Hog	2	2	TT1	Hog_3	113	113.10	10	09_10	6,675517104	0	NA	0	NA	1	NA	continuous	continuous	6,847506177
Hog	Hog	2	2	TT1	Hog_3	113	113.11	11	09_10	5,813417057	0	NA	0	NA	1	NA	continuous	continuous	5,989715495
Hog	Hog	2	2	TT1	Hog_3	113	113.12	12	09_10	6,501373349	0	NA	0	NA	1	NA	continuous	continuous	5,813417057
Hog	Hog	2	2	TT1	Hog_3	113	113.13	13	09_10	5,813417057	0	NA	1	1	1	NA	continuous	continuous	5,813417057
Hog	Hog	2	2	TT1	Hog_3	113	113.14	14	09_10	6,501373349	0	NA	1	1	1	NA	continuous	continuous	6,331538958
Hog	Hog	2	2	TT1	Hog_3	113	113.15	15	09_10	6,331538958	0	NA	0	NA	0	NA	continuous	dead	NA
Hog	Hog	2	2	TT1	Hog_3	113	113.16	16	09_10	6,161704568	0	NA	0	NA	1	NA	continuous	continuous	5,81557174
Hog	Hog	2	2	TT1	Hog_3	113	113.17	17	09_10	8,221264077	0	NA	0	NA	1	NA	continuous	continuous	5,469438912
Hog	Hog	2	2	TT1	Hog_3	113	113.18	18	09_10	6,673362422	0	NA	1	1	0	NA	continuous	dead	NA
Hog	Hog	2	2	TT1	Hog_3	113	113.19	19	09_10	6,329384276	0	NA	0	NA	1	NA	continuous	continuous	5,813417057
Hog	Hog	2	2	TT1	Hog_3	113	113.2	2	09_10	6,333693641	0	NA	1	1	1	NA	continuous	continuous	5,987560813
Hog	Hog	2	2	TT1	Hog_3	113	113.20	20	09_10	5,641427984	0	NA	0	NA	0	NA	continuous	dead	NA
Hog	Hog	2	2	TT1	Hog_3	113	113.21	21	09_10	5,81557174	0	NA	0	NA	0	NA	continuous	dead	NA
Hog	Hog	2	2	TT1	Hog_3	113	113.3	3	09_10	5,987560813	0	NA	0	NA	0	NA	continuous	dead	NA
Hog	Hog	2	2	TT1	Hog_3	113	113.4	4	09_10	6,675517104	0	NA	1	3	1	NA	continuous	continuous	6,159549886
Hog	Hog	2	2	TT1	Hog_3	113	113.5	5	09_10	5,643582667	0	NA	0	NA	1	NA	continuous	continuous	5,643582667
Hog	Hog	2	2	TT1	Hog_3	113	113.6	6	09_10	7,535462468	0	NA	0	NA	1	NA	continuous	continuous	5,813417057
Hog	Hog	2	2	TT1	Hog_3	113	113.7	7	09_10	5,641427984	0	NA	0	NA	1	NA	continuous	continuous	5,81557174
